,word,overall_rank,rank_english,rank_japanese,kanji,hiragana,count_english,word_type_japanese
287,heart,288,889,3124,心臓,しんぞう,90249265,Adjectival Noun
288,knowledge,289,897,4966,知識,ちしき,89749339,Noun
289,camera,290,900,671,カメラ,カメラ,89324930,Noun
290,girl,291,902,2063,少女,しょうじょ,89139125,Noun
291,construction,292,904,617,工事,こうじ,88770071,Verbal Noun
292,construction,293,904,1455,建設,けんせつ,88770071,Verbal Noun
293,golf,294,908,711,ゴルフ,ゴルフ,88332962,Noun
294,receive,295,909,180,もらう,もらう,88328938,Verb
295,half,296,928,559,半分,はんぶん,86290420,Noun
296,engineering,297,931,2372,工学,こうがく,85964618,Noun
297,license,298,937,1727,免許証,めんきょしょう,85326896,Noun
298,lake,299,940,5137,湖,みずうみ,85241485,Noun
299,church,300,950,848,教会,きょうかい,84556943,Noun
300,purchase,301,952,3559,購入,こうにゅう,84333183,Verbal Noun
301,hardware,302,957,4138,ハードウェア,ハードウェア,84002445,Noun
302,fire,303,960,408,火,ひ,83845349,Noun
303,fire,304,960,613,火事,かじ,83845349,Noun
304,holiday,305,961,1628,祝日,しゅくじつ,83671730,Noun
305,death,306,967,2775,死,し,83216831,Noun
306,death,307,967,2779,死亡,しぼう,83216831,Verbal Noun
307,speed,308,969,1024,速さ,はやさ,83135749,Noun
308,speed,309,969,2091,スピード,スピード,83135749,Noun
309,face,310,973,329,顔,かお,82807978,Noun
310,face,311,973,4701,面する,めんする,82807978,Verb
311,discount,312,975,4469,値引き,ねびき,82646962,Verbal Noun
312,yellow,313,983,344,黄色い,きいろい,82024459,Adjective
313,yellow,314,983,1472,黄色,きいろ,82024459,Noun
314,stay,315,1001,5251,滞在,たいざい,80694073,Verbal Noun
315,nature,316,1002,1150,自然,しぜん,80659036,Noun
316,nature,317,1002,4527,天然,てんねん,80659036,Noun
317,summary,318,1006,5813,まとめ,まとめ,80526622,Noun
318,turn,319,1007,284,曲がる,まがる,80328029,Verb
319,growth,320,1009,2860,成長,せいちょう,79998480,Verbal Noun
320,king,321,1012,3179,王,おう,79791224,Noun
321,king,322,1012,3180,王様,おうさま,79791224,Noun
322,activity,323,1015,1017,活動,かつどう,79633609,Verbal Noun
323,employment,324,1024,1345,採用,さいよう,79105156,Verbal Noun
324,employment,325,1024,2999,雇用,こよう,79105156,Verbal Noun
325,employment,326,1024,5048,勤め先,つとめさき,79105156,Noun
